시도	시군구	읍면동	주택유형	단지명	소재지	입주시기	총세대수	매매시세(3.3㎡)	분양가(3.3㎡)	시공사	lon	lat
부산	기장군	정관읍	아파트	이진캐스빌2차	부산 기장군 정관읍 용수리 1279	2017-08	258	907	853	동수토건(주)	129.18163431916037	35.32899417567422
대구	달성군	다사읍	아파트	대실역태왕아너스	대구 달성군 다사읍 죽곡리 814	2017-09	742	1353	853	(주)태왕E&C,금광기업(주),(주)세운건설	128.46553494662996	35.855526106160724
대구	동구	괴전동	아파트	안심역우방아이유쉘	대구 동구 괴전동 652	2016-05	351	974	852	(주)우방	128.73399933913927	35.86569482840372
부산	영도구	동삼동	아파트	영도경동리인	부산 영도구 동삼동 1190	2017-12	123	820	851	(주)경동	129.07032002502226	35.07030926747842
부산	강서구	명지동	아파트	명지국제신도시호반베르디움2차	부산 강서구 명지동 3344	2017-01	694	1411	848	(주)호반건설,호반비오토(주)	128.91953300544014	35.10216944272934
대구	달서구	장기동	아파트	장기협성휴포레	대구 달서구 장기동 535	2016-08	155	0	844	주식회사협성건설	128.53306504055416	35.84400460162954
부산	부산진구	범천동	아파트	서면DS협성엘리시안	부산 부산진구 범천동 1647	2017-03	630	1247	842	(주)동부토건,(주)협성	129.05415537436156	35.143833564104625
대구	동구	숙천동	아파트	대구혁신도시서한이다음4차	대구 동구 숙천동 388	2016-06	244	853	841	(주)서한	128.75280513649878	35.878920623693695
대구	남구	대명동	아파트	교대역동서프라임36.5	대구 남구 대명동 3060	2017-06	268	997	840	주식회사 동서개발	128.59447504899921	35.851117353701355
대구	달성군	구지면	아파트	대구국가산단대방노블랜드	대구 달성군 구지면 창리 1434	2021-06	881	810	838	대방건설(주)	128.41921067541966	35.66235305666861
대구	동구	서호동	아파트	효성노블시티	대구 동구 서호동 7-15	2016-12	60	0	836	주식회사 효성토건	128.70935166348934	35.87141255324039
부산	강서구	명지동	아파트	명지협성휴포레	부산 강서구 명지동 3328	2016-11	1664	1198	832	(주)협성건설	128.92023053427374	35.106193494304264
부산	사상구	괘법동	아파트	은하하우스	부산 사상구 괘법동 499-3	2016-11	108	832	830	천성종합건설(주)	128.9893103643257	35.15996328026613
대구	달성군	옥포읍	아파트	옥포지구서한이다음	대구 달성군 옥포읍 교항리 2984	2020-03	688	757	829	(주)서한	128.44811378261625	35.78085919017215
부산	동래구	온천동	아파트	은우아일레	부산 동래구 온천동 192-6	2017-02	108	0	828	은우종합건설(주)	129.07920891367195	35.21775592707778
부산	사하구	당리동	아파트	경보이리스힐당리	부산 사하구 당리동 577	2017-04	279	784	825	(주)경보종합건설	128.98059637886482	35.10875235444754
대구	북구	침산동	아파트	침산화성파크드림	대구 북구 침산동 1761	2017-09	1640	1407	825	화성산업(주)	128.5923170083437	35.89172895866314
대구	동구	대림동	아파트	대구혁신도시서한이다음3차	대구 동구 대림동 885	2016-06	380	787	820	(주)서한	128.74683730167388	35.875601800335055
대구	북구	노원동3가	아파트	대구노원LH천년나무	대구 북구 노원동3가 1227	2017-08	1580	1106	820	한신공영(주)	128.5683248507754	35.891204404465164
대구	서구	평리동	아파트	평리힐스2차	대구 서구 평리동 669-5	2017-04	52	0	815	(주)백구종합건설	128.56174144210294	35.8789296488092
대구	달성군	구지면	아파트	대구국가산단모아미래도에듀퍼스트	대구 달성군 구지면 창리 1447	2021-07	704	723	810	(주)모아종합건설	128.421614	35.660304
대구	달성군	화원읍	아파트	화원이진캐스빌	대구 달성군 화원읍 천내리 918	2017-09	911	1103	806	이진종합건설(주)	128.49511312095075	35.803395268576416
대구	동구	신암동	아파트	에스지펠리체	대구 동구 신암동 351-12	2015-11	42	0	800	(주)에스지종합건설	128.6317486325824	35.88193365375414
대구	달성군	유가읍	아파트	대구테크노폴리스중흥S클래스포디움	대구 달성군 유가읍 쌍계리 633	2018-03	710	875	799	중흥건설(주)	128.4671982	35.699433
부산	강서구	명지동	아파트	명지대방노블랜드오션뷰2차	부산 강서구 명지동 3417	2016-04	600	1397	796	대방건설주식회사	128.91844179555335	35.09514612546462
대구	달성군	구지면	아파트	대구국가산단영무예다음	대구 달성군 구지면 창리 1354	2020-11	934	630	793	(주)영무산업개발	128.40816932879895	35.66134493927954
대구	북구	사수동	아파트	e편한세상대구금호	대구 북구 사수동 784	2017-06	602	826	791	(주)삼 호	128.50897693064567	35.900334316518354
대구	달성군	옥포읍	아파트	옥포대성베르힐4단지	대구 달성군 옥포읍 교항리 2964	2016-10	1067	764	790	대성베르힐건설(주)	128.44246138417125	35.780186369560646
부산	사하구	구평동	아파트	e편한세상사하2차	부산 사하구 구평동 518	2017-10	946	988	789	대림산업(주)	128.98504327738254	35.08150212248584
